museum_reference,title,description,date,style_culture,image,interpretation,GenAIinterpretation,tokens_used,wordCount,GenAIwordCount,sentenceCount,GenAIsentenceCount,fleschReadingEase,genAIfleschReadingEase,mcalpineEFLAW,genAImcalpineEFLAW,flairSentiment,flairScore,GenAIflairSentiment,GenAIflairScore,vadarNeg,vadarPos,vadarNeu,vadarCompound,GenAIvadarNeg,GenAIvadarPos,GenAIvadarNeu,GenAIvadarCompound,countTermsDetected,terms,issues,sources,genAIcountTermsDetected,genAIterms,genAIissues,genAIsources
A.1909.499.54 C,Prayer stick,"Prayer stick with shaved decoration (kike ikupasuy), wooden stick with pointed end, attached shavings on upper surface, used in the Ainu bear ceremony: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.54C.png,"Shaved prayer sticks, kike ikupasuy, were made for the bear ceremony. The pointed 'tongues' were dipped to offer beer or rice wine to the spirit-gods. Other prayer sticks could be reused, but kike ikupasuy were usually destroyed or placed on an altar as offerings after the ceremony.","This kike ikupasuy, or prayer stick, was crafted by the Ainu people of Hokkaido. Its delicate shaved decorations and pointed end reflect its ceremonial use. During the bear ceremony, the Ainu offered prayers for the spirit of the bear, honoring their deep connection with nature and respect for animals. Imagine the hands that carefully shaped this stick, and the voices raised in prayer, passing on traditions across generations.",1297,47,68,3,4,63.13333333333334,48.994705882352946,20.333333333333332,22.75,NEGATIVE,0.9999793767929076,POSITIVE,0.9999337196350098,0.085,0.0,0.915,-0.6486,0.0,0.146,0.854,0.8316,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.32,Arrow,"Ceremonial arrow (heper ay), notched shaft with feather flight, blunt wooden tip carved with abstract designs, used in the bear ceremony (iyomante): Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.32.png,"Blunted arrows, called flower arrows or heper ay, were released at the beginning of the bear ceremony. These beautifully decorated arrows were believed to be cherished by the bear spirit and were one of the many gifts given to him during the ceremony.","This ceremonial arrow, or heper ay, was crafted by the Ainu people of Hokkaido for use in the sacred bear ceremony (iyomante). Its notched shaft, feathered flight, and carved designs reflect deep spiritual meaning. With a blunt wooden tip, this arrow honored the bear—a revered animal—for its sacrifice, symbolizing gratitude and respect in Ainu culture.",1287,43,55,2,3,49.259011627907,40.56121212121215,30.0,24.333333333333332,POSITIVE,0.9981403350830078,POSITIVE,0.9953847527503968,0.0,0.179,0.821,0.8271,0.0,0.213,0.787,0.926,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.29,Trough,"Feeding trough for bear (heper nima), hollowed out wood with projecting handle, used to feed young bears captured for the bear ceremony (iyomante): Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.29.png,"Captured cubs were honoured guests and given food and toys. Younger cubs were often brought indoors, but as they grew they were fed in their cages.","This wooden feeding trough was used by the Ainu people of Hokkaido to nourish bear cubs for the iyomante, or bear ceremony. Its simple, sturdy shape reflects the care given to young bears, which held spiritual significance. Through such objects, we glimpse the close relationship between Ainu communities and the natural world—inviting us to consider what it means to honor and nurture life.",1289,26,63,2,3,86.26307692307695,49.89142857142858,16.0,27.666666666666668,POSITIVE,0.997363030910492,POSITIVE,0.9998962879180908,0.0,0.077,0.923,0.2732,0.0,0.188,0.812,0.9081,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.50,Spring-bow trap,"Bow, part of spring-bow trap with trigger (A.1909.499.50 A), wooden bow with cord, used for hunting: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.50.png,"The Ainu hunted and trapped deer, bears, foxes and otters in the forests. Deer were an important source of meat and were hunted with hand bows and traps. Of all these animals, bears were the most sacred and bear hunting was strictly controlled within the community.","This spring-bow trap, used by the Ainu people of Hokkaido in the 19th to early 20th century, is a skillfully crafted hunting tool. Made of wood and fitted with a cord, it reveals the ingenuity of Ainu hunters who relied on such devices for survival. Look closely—the function and simple beauty of this object reflect both the resourcefulness and lived traditions of its makers. What might it have meant to set this trap in the forests of Hokkaido?",1309,46,78,3,4,73.56731884057973,59.05788461538465,20.333333333333332,26.75,NEGATIVE,0.7148147821426392,POSITIVE,0.9999953508377076,0.066,0.097,0.837,0.1531,0.057,0.047,0.897,0.0516,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1900.198,Fishing spear,"Tip of fishing spear (marek), wood with pivoting iron hook and sealskin line: Sakhalin, Ainu, 19th century",19th century,"Ainu people (Sakhalin), Japanese",A.1900.198.png,"Fishing was vital to Ainu communities. Salmon and trout returned to the rivers to spawn in vast numbers, so villages were built near the spawning grounds. Annual ceremonies welcomed the first salmon and sent its spirit back in the hope that it would return the following year.","This 19th-century fishing spear tip, or marek, forged by the Ainu people of Sakhalin, combines wood, iron, and sealskin. Ingeniously crafted to pivot and secure the catch, it reflects daily life and deep respect for the natural world. Imagine the hands that lashed the line and shaped the wood—connecting community, tradition, and survival on the edge of the sea.",1267,47,59,3,3,63.13333333333334,52.08689265536725,21.0,27.333333333333332,POSITIVE,0.9935733675956726,POSITIVE,0.9999927282333374,0.0,0.176,0.824,0.802,0.0,0.125,0.875,0.7906,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1900.202,Belt,"Woven nettle fibre belt decorated with coloured cloth and blue glass beads, carrying seal and sharkskin pouches, antler tip and two knives: Sakhalin, Ainu, 19th century",19th century,"Ainu people (Sakhalin), Japanese",A.1900.202.png,"This belt is a combination of elements, including seal-and sharkskin pouches, an antler tip and two knives. These items would have been used by Sakhalin Ainu.","This woven nettle fibre belt, made by the Ainu people of Sakhalin in the 19th century, is both practical and personal. Decorated with cloth and blue glass beads, it carries pouches of seal and sharkskin, an antler tip, and two knives. Each item reflects daily life and survival, as well as cultural identity. Imagine the stories of its wearer—hunter, fisher, and maker—woven into every thread and bead.",1288,26,67,2,4,60.23230769230773,53.46360074626867,17.0,22.5,NEGATIVE,0.999424695968628,POSITIVE,0.9999401569366456,0.0,0.0,1.0,0.0,0.0,0.031,0.969,0.2732,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.41 A,String of beads,"String of beads attaching lid to poison holder (A.1909.499.41), double string of glass beads, various colours: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.41.png,Ainu communities living in Hokkaido used poison-tipped arrows for hunting. Poison was made from the plant monkshood and ingredients such as tobacco and poisonous spiders.,"This string of multicoloured glass beads, crafted by the Ainu people of Hokkaido, was used to attach the lid to a poison holder. Beads like these not only served a practical function, but also reflected personal and cultural identity. Each bead may recall a story, a trade, or a journey. Imagine the care taken in stringing and using these beads—linking daily life with tradition in 19th to early 20th century Japan.",1299,25,71,2,4,38.48350000000002,55.36522887323949,16.0,23.75,NEGATIVE,0.9986444115638732,POSITIVE,0.9999852180480956,0.238,0.0,0.762,-0.802,0.032,0.085,0.884,0.5859,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1886.15,Ekamasune,"Bag (ekamasune), woven rushes with chevron design and patterned indigo fabric panels at ends: Japan, Hokkaido, Ainu, 19th century",19th century,"Ainu people (Hokkaido), Japanese",A.1886.15.png,"While groups of hunters travelled into the mountains, taking what they needed to make camp, the rest of the community, including women, children and the elderly, gathered wild plants from the area around the village. These plants complemented the food obtained by hunting and fishing and provided materials for crafts.","Ekamasune is a traditional Ainu bag, woven from rushes in a striking chevron pattern. The indigo fabric panels at the ends showcase the unique artistry of Hokkaido’s Indigenous Ainu people. Crafted in the 19th century, this bag reflects both creativity and resourcefulness—carrying personal stories and daily necessities, while connecting us to Ainu cultural practices and their relationship with the land.",1273,50,60,2,3,44.408000000000015,22.975000000000023,32.5,26.333333333333332,POSITIVE,0.9994733929634094,POSITIVE,0.9999879598617554,0.0,0.0,1.0,0.0,0.0,0.044,0.956,0.3818,0,['No issues detected'],['No issues detected'],['No issues detected'],1,['Traditional'],"[""The term “traditional” itself is not necessarily problematic, but it can have a negative meaning when contrasted with terms like 'modern' or 'progress.' Several scholars have argued this contrast was part of a Eurocentric, colonial mindset that portrayed non-European cultures as stuck in the past, while Europe was seen as modern and forward-thinking. This divide still exists today, especially when referring to “traditional arts and cultures,” a term often linked to ethnographic museums.""]","['Tropen Museum et al., eds., “Words Matter: An Unfinished Guide to Word Choices in the Cultural Sector,” 2018, 140. https://www.materialculture.nl/sites/default/files/2018-08/words_matter.pdf.pdf.\nAndrei Nesterov, Laura Hollink, Marieke van Erp, and Jacco van Ossenbruggen. (2023). cultural-ai/wordsmatter: Words Matter: a knowledge graph of contentious terms (v1.0.2) [Data set]. European Semantic Web Conference (ESWC), Hersonissos, Greece. Zenodo. https://doi.org/10.5281/zenodo.7713157 ; https://w3id.org/culco/wordsmatter/140.']"
A.1909.499.48,Robe,"Robe, striped elm-bark cloth (attush) with abstract designs in blue cotton calico applique and embroidery around hem, cuffs and collar, worn by a man: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.48.png,"The patterns on this robe are concentrated around the collar, cuffs and hem, focusing their protective power at these 'weak' points where harmful spirits might enter.","This robe, woven from elm-bark cloth (attush), is the work of the Ainu people of Hokkaido, Japan. Bold blue cotton calico appliqué and intricate embroidery decorate the hem, cuffs, and collar, creating abstract patterns unique to Ainu culture. Traditionally worn by men in the 19th to early 20th centuries, such garments express both identity and artistry, embodying a deep connection to the natural world and community. Consider the hands that stitched each line—preserving stories, tradition, and belonging through fabric.",1323,26,79,1,4,50.29115384615386,35.79381329113929,33.0,25.25,POSITIVE,0.9380830526351928,POSITIVE,0.9999954700469972,0.0,0.0,1.0,0.0,0.026,0.106,0.868,0.6908,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
K.2002.108 A,Headband,"Headband, indigo cotton embroidered with abstract designs in green, pink and white: Japan, Hokkaido, Tomakomai, Ainu, by Sunazawa Yumiko, 2002",2002,"Ainu people (Hokkaido), Japanese",K.2002.108A.png,"These items were created by two artists, mother and daughter, who embroider in the Ainu tradition. The leggings were made by Sunazawa Yoeko, who visited this Museum in 2002. The headband was made by her daughter, Yumiko.","This indigo cotton headband, made by Ainu artist Sunazawa Yumiko in 2002, is embroidered with swirling abstract motifs. For the Ainu people of Hokkaido, such patterns hold cultural meaning, often signifying protection and identity. Carefully hand-stitched in green, pink, and white, the design connects past and present, reflecting both tradition and contemporary creativity. Can you spot the repeating spirals—symbols often believed to guard the wearer from harm?",1290,37,67,3,4,63.98693693693693,35.78598880597016,17.0,21.0,POSITIVE,0.9298987984657288,POSITIVE,0.9994932413101196,0.0,0.053,0.947,0.25,0.049,0.057,0.894,-0.1027,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.1,Loom,"Back-strap loom of wood, with roll of striped elm bark cloth: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.1.png,"Women traditionally wove cloth using a backstrap loom. The wooden brace fits around the weaver's back and is used to keep the threads on the loom taut. The wooden parts of the loom, thread winders and beaters, were carved by men and feature typical Ainu designs.","This back-strap loom, crafted by the Ainu people of Hokkaido, Japan, was used to weave elm bark cloth in the 19th to early 20th century. The loom embodies skilled hands—each thread tells of daily life, resilience, and cultural identity. Through its simple wooden frame and natural materials, imagine the weaver at work, seated on the ground, transforming bark into cloth for garments and ritual. What patterns or stories might have emerged under their fingers? Look closely at the textures and colors—echoes of Hokkaido’s forests and a community’s way of life.",1313,46,90,3,5,73.56731884057973,54.14500000000001,20.666666666666668,23.8,NEGATIVE,0.6362155675888062,POSITIVE,0.999992609024048,0.119,0.0,0.881,-0.5719,0.041,0.027,0.932,-0.0772,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.12 B,Pons ikayop,"Model quiver (pons ikayop), wood with carved abstract designs, used as charms or placed into burials: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.12B.png,"These carvings are miniature versions of the quivers which Ainu men carried for hunting. Sometimes used as charms by the living, they were also placed into men's graves for their next life in the spirit world.","This carved wooden quiver, called pons ikayop, was created by the Ainu people of Hokkaido, Japan. Its intricate abstract patterns were believed to carry protective power. Such objects served not just as tools, but as charms or sacred items, sometimes placed in burials to guide spirits. Each carved line connects us to the Ainu’s traditions, offering a glimpse into a culture where artistry and spiritual belief are closely linked.",1293,36,69,2,4,71.06500000000001,54.45668478260873,23.5,22.25,NEGATIVE,0.9281577467918396,POSITIVE,0.9999808073043824,0.055,0.116,0.829,0.34,0.0,0.094,0.906,0.6858,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.53 S,Prayer stick,"Prayer stick (ikupasuy), wooden stick with pointed end, carved with abstract designs in low relief, used in Ainu ceremonies to deliver prayers: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.53S.png,"Ikupasuy or prayer sticks are sacred objects used in Ainu ceremonies. Lines carved at each end are similar to family crests and identify the owner, while symbols sometimes carved on the reverse have private meaning. The central section is carved freely and may include animals such as bears and whales, or representations of ceremonial objects.","These prayer sticks, or ikupasuy, were used by the Ainu people of Hokkaido to deliver prayers during ceremonies. Each stick's intricate carvings reflect spiritual beliefs and connections to ancestors. When prayers were recited, a few drops of sacred sake were poured, and the stick used to direct the offering. These objects remind us of the power of ritual and the ongoing significance of tradition in Ainu life.",1293,55,67,3,4,48.25212121212124,49.67554104477614,24.666666666666668,22.25,POSITIVE,0.983358919620514,POSITIVE,0.99997878074646,0.0,0.051,0.949,0.4404,0.0,0.055,0.945,0.4019,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.18,Knife,"Knife (makiri) with metal blade set into wooden handle: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.18.png,"Both men and women carried knives, makiri. A craftsman's skill was judged by the decoration on his knife. When a man wished to marry a woman, he carved a knife especially for her. If she wore this, it showed that she had accepted his proposal.","This finely carved makiri knife belonged to the Ainu people of Hokkaido. Both tool and symbol, it served daily tasks and ritual roles. The wooden handle and sheath are adorned with traditional patterns, reflecting Ainu identity and connection to nature. Imagine the hands that shaped it, passing knowledge from one generation to the next. How might this knife have shaped both lives and traditions?",1266,45,64,4,5,82.61625000000004,62.97737500000002,16.75,16.4,NEGATIVE,0.8391451239585876,POSITIVE,0.9999566078186036,0.0,0.05,0.95,0.2732,0.0,0.028,0.972,0.2023,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1909.499.11 B,Tobacco box,"Tobacco box with pipe holder, wooden with bone toggle, carved abstract designs: Japan, Hokkaido, Ainu, 19th to early 20th century",19th - early 20th century,"Ainu people (Hokkaido), Japanese",A.1909.499.11B.png,"Ainu pipe holders look very similar to prayer sticks, but only ever have abstract designs. The small box, hung from the belt, held imported tobacco.","This carved wooden tobacco box, paired with a pipe holder and bone toggle, reflects the artistry and daily life of the Ainu people of Hokkaido in the 19th to early 20th century. Abstract designs etched on its surface connect it to Ainu spiritual traditions. Such objects were carried for both practical use and as personal keepsakes, inviting us to imagine the stories and hands that have shaped its history.",1276,25,69,2,3,65.55550000000002,49.84652173913045,15.0,31.0,NEGATIVE,0.996393382549286,POSITIVE,0.9999785423278807,0.0,0.0,1.0,0.0,0.0,0.033,0.967,0.3182,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1907.415,Mani stone,"Mani stone (stone tablet), circular stone carved with 'om mani padme hum' (Tibetan Buddhist mantra) set into lotus flower petals, for setting at religious sites in the landscape: India, Ladakh, Tibetan, 19th century AD",19th century,Tibetan,A.1907.415.png,"For Tibetan Buddhists, the act of walking can be a form of meditation. As pilgrims walk, they recite mantras, count them on beads, and turn hand wheels packed with printed prayers. Carved stones are used to mark places of importance, such as sacred monuments and mountain passes.","This 19th-century Mani stone from Ladakh, India, is intricately carved with the sacred Tibetan Buddhist mantra “om mani padme hum” set within lotus petals. Placed at religious sites, such stones invite passersby to reflect on compassion and peace. Each inscription is a devotional offering, connecting the landscape with centuries of human spirituality and hope. Look closely: how might the hands that carved it have been guided by faith?",1285,47,68,3,4,73.93333333333334,46.50647058823532,21.0,21.5,POSITIVE,0.9887722134590148,POSITIVE,0.9999539852142334,0.0,0.115,0.885,0.6908,0.0,0.208,0.792,0.9325,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1924.109,Tsa-tsa,"Tsa-tsa (religious offering), moulded cone of sun-baked clay in shape of chorten (Buddhist monument), used as offering or carried for spiritual protection: India, Ladakh, Basgo, Tibetan, late 19th to early 20th century AD",Late 19th - early 20th century,Tibetan,A.1924.109.png,"This case was probably carried by a travelling monk. When the monk reached a village or camp, people could venerate the deities depicted on the moulded clay tsa-tsa inside. The case may have been in use for many years.","This tsa-tsa, shaped like a chorten, was moulded from clay and sun-baked in Ladakh, India. Made by Tibetan Buddhists in the late 19th or early 20th century, tsa-tsas were created as spiritual offerings or carried for protection. Each tsa-tsa holds a personal story of devotion, connecting the maker to sacred beliefs. Look closely—can you sense the care and intention embodied in this humble, protective object?",1305,39,65,3,4,72.16307692307694,47.17201923076925,17.666666666666668,21.0,POSITIVE,0.6134321689605713,POSITIVE,0.999886155128479,0.0,0.037,0.963,0.1027,0.0,0.154,0.846,0.8658,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1907.419,Shrine case,"Shrine case with painting, wooden case decorated with foliate design in gold on red, painting of Buddhist figure within visible through shrine-shaped aperture in lid: India, Ladakh, Leh, Tibetan, collected c. 1900 AD",Late 19th - early 20th century,Tibetan,A.1907.419.png,"The image in this case was painted for the collector, Lilian Le Mesurier, as the monks who gave her the case would not part with the original.","This ornate shrine case from Ladakh, Leh, reflects Tibetan Buddhist devotion. Its vivid gold foliate designs on red wood frame a painted Buddhist figure, offering a spiritual focus for meditation and prayer. Crafted around 1900, the shrine once brought sacred imagery into daily life, inviting personal contemplation. Notice how the rich colors and delicate ornamentation express reverence and draw the viewer closer to the spiritual presence within.",1280,27,67,1,4,63.49666666666667,34.523302238806,40.0,20.75,NEGATIVE,0.7374317646026611,POSITIVE,0.9999428987503052,0.0,0.081,0.919,0.3182,0.0,0.142,0.858,0.8442,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1990.77 A,"Altar, portable","Altar, gilded copper table with front panel decorated with Kirtimukha (Face of Majesty) and set with turquoise, the trestle legs and front panel fold into the table top for transport: Tibet, late 19th century AD",Late 19th century,Tibetan,A.1990.77.png,"Most Tibetan tents and houses have an altar for Buddhist statues, butter lamps and offering bowls, above which a thangka painting might be displayed. These altars are a smaller version of those found in temples and monasteries. The sacred images are placed at different heights to indicate respect.","This portable Tibetan altar, crafted in gilded copper and set with turquoise, was made in the late 19th century. Its folding legs and panel allowed monks or travelers to worship wherever they went. The fierce Kirtimukha—Face of Majesty—represents protection and the transformative power of ritual. Imagine the hands that opened and arranged this altar, bringing sacred presence to new places and moments across Tibet.",1283,48,64,3,4,56.64500000000001,50.47625000000002,21.0,21.0,POSITIVE,0.979379653930664,POSITIVE,0.999789535999298,0.0,0.064,0.936,0.4767,0.0,0.034,0.966,0.296,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1910.108,Drilbu,"Drilbu (handbell) of bronze, domed chamber with cast borders of dorje (sceptres) and kirtimukha (monster faces) in relief, handle features face of Prajna-paramita (deity) surmounted by eight-pronged dorje finial, in Tibetan Buddhist rituals the bell represents wisdom or emptiness: Tibet, 19th to early 20th century AD",19th - early 20th century,Tibetan,A.1910.108.png,"The daily offerings made at altars in homes and temples require a range of bowls, ewers and butter lamps. Monks use other ritual objects, such as the dorje and drilbu or thunderbolt and bell. Paired together, the dorje and drilbu represent the union of compassion and wisdom required to achieve enlightenment.","This 19th–early 20th century Tibetan drilbu (handbell) is intricately decorated with dorje (sceptres) and kirtimukha (protective monster faces). The handle, topped by an eight-pronged dorje, features the face of Prajna-paramita, a wisdom deity. In Tibetan Buddhist rituals, ringing the bell represents wisdom or emptiness, inviting practitioners to reflect on the interconnectedness of all things. Consider the hands that have used this bell, drawing sound into sacred spaces and linking past devotion to present contemplation.",1351,51,74,3,4,53.5564705882353,28.00344594594597,23.333333333333332,23.25,POSITIVE,0.9998489618301392,POSITIVE,0.9996901750564576,0.0,0.118,0.882,0.7506,0.035,0.146,0.819,0.8481,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1897.266.11,Gau,"Gau (amulet box), circular metal box with glazed lid, containing gilded clay relief of a Buddhist deity, worn by soldiers for spiritual protection: China, Tibet Autonomous Region, Xigaze Prefecture, Yadong County, 19th century AD",19th century,Tibetan,A.1897.266.11.png,"Amulet cases, known as gau, are worn by Tibetans for spiritual protection every day. Gau contain images of deities, written prayers or other sacred items. The materials and symbols used on the case have special significance and offer different forms of protection.","This 19th-century Tibetan gau is a portable amulet box, its glazed lid protecting a gilded clay relief of a Buddhist deity. Carried by soldiers in Yadong County for spiritual protection, it was believed to safeguard the wearer from harm. The human connection endures—faith, hope, and the search for security in uncertain times. What significance might you find in the objects you carry for comfort or strength?",1280,42,66,3,4,39.53928571428571,50.36931818181819,19.0,23.25,POSITIVE,0.9979665279388428,POSITIVE,0.999424695968628,0.048,0.104,0.848,0.3818,0.073,0.239,0.688,0.9022,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1907.391,Tsa-tsa,"Tsa-tsa (religious offering), moulded cone of sun-baked clay in shape of chorten (Buddhist monument), used as offering or carried for spiritual protection: India, Ladakh, Tibetan, late 19th to early 20th century AD",Late 19th - early 20th century,Tibetan,A.1907.391.png,"Tsa-tsa are small tokens of moulded clay which can be carried in a gau or left as offerings. Some tsa-tsa are made to resemble sacred monuments called chorten, which are important features of the Tibetan landscape. Other tsa-tsa are decorated with images of Buddhist deities.","This tsa-tsa, shaped like a chorten, was crafted in Ladakh, India, by Tibetan Buddhists in the late 19th to early 20th century. Made from sun-baked clay, tsa-tsas were created as offerings or carried for spiritual protection. Each tsa-tsa reflects a personal hope or prayer, connecting its maker to Buddhist beliefs about compassion and enlightenment. What spiritual meaning might you find in its humble shape and hand-made details?",1302,45,67,3,4,52.49000000000004,47.15016791044778,20.333333333333332,21.5,NEGATIVE,0.9449883699417114,POSITIVE,0.9993413090705872,0.0,0.04,0.96,0.2023,0.0,0.146,0.854,0.8555,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1897.319.6,Printing block,"Printing block of wood, square, carved with circular design enclosing lotus flower and Tibetan script, used for printing paper amulets: Tibet, late 19th century AD",Late 19th century,Tibetan,A.1897.319.6.png,"In Tibet, woodblock printed charms sold by monks were used to ward off illness and misfortune. Dough moulds were carried by trained practitioners who travelled from village to village. The dough cakes made with these moulds were presented to deities to gain their favour.","This wooden printing block, carved in Tibet during the late 19th century, was used to create paper amulets. Its intricate lotus design and Tibetan script carry deep spiritual significance, invoking blessings and protection for the bearer. Each print connected the sacred traditions of Tibetan Buddhism with daily life, linking generations through ritual and devotion. Look closely—can you imagine the hands that pressed ink to wood, transferring a tradition of hope and faith?",1268,44,72,3,4,72.73924242424245,39.34,18.333333333333332,22.75,NEGATIVE,0.7770236134529114,POSITIVE,0.9999648332595824,0.052,0.177,0.771,0.7579,0.035,0.215,0.751,0.9201,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1920.207,Ngayab,"Ngayab (flywhisk) consisting of a yak's tail with wooden handle: Tibet, late 19th to early 20th century AD",Late 19th - early 20th century,Tibetan,A.1920.207.png,"Yak are treasured by their owners as they provide wool, leather, milk and meat. Butter and yoghurt made from yak's milk are both important to the Tibetan diet. Yak dung can be dried for use as fuel.","This Tibetan flywhisk, or Ngayab, was crafted from a yak’s tail and a wooden handle in the late 19th to early 20th century. Used to gently sweep away insects, it reflects daily life and spiritual ritual in Tibet, where such objects held ceremonial importance. As you observe its simple materials, imagine the hands that wielded it—protecting sacred spaces or offering comfort in monastic and household settings.",1272,37,66,3,3,82.27882882882884,39.65954545454545,17.333333333333332,28.333333333333332,POSITIVE,0.9996126294136048,POSITIVE,0.9995418787002563,0.0,0.134,0.866,0.6597,0.0,0.116,0.884,0.7906,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1924.72,Hook,"Hook of iron, S-shaped with serpent design: Tibet, early 20th century AD",Early 20th century,Tibetan,A.1924.72.png,"Farmers use yak to plough their fields, while traders and nomads use them to transport goods. Traders traditionally loaded their yak caravans with furs, salt, hides and wool, which were exchanged for Chinese tea, silk, silver and other items.","This iron hook, crafted in early 20th-century Tibet, features a serpent design—a powerful symbol in Tibetan culture, representing wisdom and protection. Its S-shape is both functional and artistic, reflecting the skill of its maker. Imagine the hands that used this tool: was it part of daily life, or did its serpent motif give it ceremonial significance? Take a moment to consider how such an ordinary object might also carry deeper meanings.",1251,39,71,2,4,65.56557692307695,42.258186619718344,25.0,23.25,POSITIVE,0.9976227879524232,POSITIVE,0.9994781613349916,0.043,0.0,0.957,-0.1779,0.0,0.112,0.888,0.8074,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
A.1897.319.11,Girdle,"Girdle and chopstick case, four chased and openwork brass links, with one hanging link suspending wooden case with gold damascened steel mounts with foliate design, part of an eating set (girdle, case, two chopsticks and knife) worn and used by Tibetan women: possibly manufactured in China, collected in Tibet, Tibetan, 19th century AD",19th century,"Chinese, Tibetan",A.1897.319.11.png,"Most personal items used by Tibetan nomads could be hooked onto a belt or tucked into the folds of a robe. Working away from home, in the fields or on long journeys, people needed to make sure they had essential items to hand.","Worn by Tibetan women in the 19th century, this girdle and chopstick case formed part of a personal eating set. The ornate brass links and gold-decorated steel mounts reflect both Chinese and Tibetan craftsmanship. Such sets combined practicality with beauty, allowing women to carry utensils for daily use and social gatherings, and highlighting the importance of food, status, and cultural exchange in their lives.",1306,43,64,2,3,68.93343023255817,41.09729166666668,28.5,27.666666666666668,NEGATIVE,0.5400853157043457,POSITIVE,0.999881386756897,0.0,0.124,0.876,0.6705,0.032,0.092,0.876,0.6249,0,['No issues detected'],['No issues detected'],['No issues detected'],0,No issues detected,No issues detected,No issues detected
